Artikel;Netto;Name DE;Text DE;Name EN;Text EN;Name FR;Text FR;Name IT;Text IT;Name SL;Text SL;Name ES;Text ES;Name NL;Text NL;Name DA;Text DA;Name FI;Text FI;Name SV;Text SV;Rabattgruppe;id;
02-1000020;22,00;Schlauch Ø100mm;;Hose Ø100mm;;Flexible PU/L Ø100mm difficilement inflammable                 ;;Tubo flessibile Ø100 mm;;Cev PU/L Ø100 mm, težko vnetljiva;;Manguera Ø100mm;;Slang Ø100 mm;;;;;;;;Zubeh;272641;
02-1000091;110,00;Brandschutzmanschette für Schlauch DM 52-64mm;;Fire protection collar for tube DM 52-64mm;;Joint coupe-feu pour tuyau de 52 à 64 mm de diamètre;;Collare antincendio per tubo flessibile DM 52-64mm;;Protipožarna objemka za cev, premer 52–64mm;;Manguito de protección frente al fuego para Manguera DM 50-63mm;;Brandwerende manchet voor slang DM 52-64mm;;;;;;;;Zubeh;272642;
02-1000092;137,00;Brandschutzmanschette für Schlauch DM 75-90mm;;Fire protection collar for tube DM 75-90mm;;Joint coupe-feu pour tuyau de 75 à 90 mm de diamètre           ;;Collare antincendio per tubo flessibile DM 75-90 mm            ;;Protipožarna objemka za cev, premer 75–90mm;;Manguito de protección frente al fuego para Manguera DM 75-90mm;;Brandwerende manchet voor slang DM 75-90mm;;;;;;;;Zubeh;272643;
02-2000014;157,00;Brandschutzmanschette DM100 mm;;Fire protection sleeve DM100 mm;;Joint coupe-feu diamètre 100 mm;;Collare antincendio DM100 mm;;Protipožarna manšeta DM100 mm;;Manguito de protección contra incendios de 100 mm de diámetro;;Brandwerende manchet DM100 mm;;;;;;;;Zubeh;272644;
03-1000654;6,20;Erdungsschelle Einblasstutzen Rohrschelle vz d=100;;Earthing clamp injection connector pipe clamp galvanised d=100;;Collier mise à la terre manchon soufflage collier zingué d=100;;Graffa per presa di terra bocch. di insuffl. zincata d=100;;Ozem. sponka, cevna objemka polnil. nas., pocinkana d=100;;Abrazadera de tierra tubo tobera de inyección galv. d=100;;Aardklem inblaaspijp buisbeugel vz d=100;;;;;;;;Zubeh;272645;
04-2000012;15,00;Ordnerhalter 58x255x360mm;;File holder 58x255x360mm                                       ;;Support de classeur 58x255x360mm;;Portaraccoglitore 58x255x360mm;;Držalo mape 58x255x360mm;;Soporte archivador 58x255x360mm;;;;;;;;;;Zubeh;273166;
04-2000045;68,00;Mehrwertposition Aschebehälter in Komfortausführung;Fahrbarer Aschebehälter mit ausziehbarem Griff für einfachen Transport und Entleerung;Ash container with convenient design for an additional charge  ;Moveable ash container with extendable handle for simple transport and emptying;Roulettes et poignée rétractable pour cendrier comfort;cendrier version confort, équipé de roulettes et d’une poignée télescopique pour KWB Easyfire II;Contenitore della cenere (comfort);Contenitore per la cenere mobile con manico estraibile e ruote  (sistema tipo trolley) per agevolare il trasporto e lo svuotamento;Dopla?ilo-posoda za pepel komfort                              ;Posoda za pepel z izvle?ljivim ro?ajem in kolesci za enostavno in udobno rokovanje;Depósito de cenizas confort disponible con recargo;Depósito de cenizas móvil con asa extensible para facilitar el transporte y la descarga;Meerprijs asreservoir in comfortuitvoering;Verrijdbaar asreservoir met uittrekbare greep voor eenvoudig transport en gemakkelijke leging;;;;;;;USP;272646;
04-2000046;378,00;Mehrwertposition KWB Easyfire vorbereitet für RLU-Betrieb;;Extra charge f. KWB Easyfire, prep. f. amb. air-ind. operation;;En option : Exploitation indépendante de l‘air ambiant         ;Supplément de prix pour KWB Easyfire préparé pour l‘exploitation indépendante de l‘air ambiant;Maggiorazione prezzo per EF2 per funzionamento camera stagna   ;;Dopla?. za predprip. kotla KWB Easyfire za del. z zun. zrakom;;Sobreprecio KWB Easyfire funcionamiento indep. aire ambiente;;Meerprijs KWB EF2 voorbereid voor ruimteluchtonafh. gebruik;;;;;;;;USP;272647;
04-2000078;1.039,00;Mehrwertposition Zwischenbehälter (Typ MF2 ZI);"mit 175 l Brennstoff-Zwischenbehälter für Hackgut- und Pelletheizung KWB Multifire Typ MF2. 

KWB ZWISCHENBEHÄLTER 175l:
- formschön und stabil
- Automatische Regelung des Füllstandes im Behälter durch Ultraschall 
- Verlängerung der Lebensdauer der Raumaustragung und Minimierung der Stromkosten, da das Fördersystem seltener anläuft
";Extra charge for hopper (type MF2 ZI);"with a 175 l fuel hopper for wood chip and pellet heating systems model KWB Multifire type MF2 

KWB HOPPER 175 l:
- Elegant and stable design
- Automatic fill level control of the container with ultrasound 
- Extends the service life of the fuel extractor and minimises power costs because the conveyor system does not start up as often
";Supplément de prix pour le réservoir intermédiaire (MF2 ZI);"avec réservoir intermédiaire de combustible de 175 l pour la chaudière à plaquettes et à granulés KWB Multifire modèle MF2 

RESERVOIR INTERMÉDIAIRE KWB 175 l :
- réservoir robuste au design sophistiqué
- réglage automatique du niveau de remplissage grâce à des ultrasons 
- sollicitations moins fréquentes du dispositif d’alimentation en combustible, d’où une durée de vie accrue et une réduction importante de la consommation électrique
";Maggiorazione x serbatoio stoccaggio intermedio mod.MF2 ZI*;"Maggiorazione per variante di generatore con un serbatoio di stoccaggio intermedio per combustibile da 175 l di volume per la caldaia a cippato e pellet KWB Multifire modello MF2

SERBATOIO DI STOCCAGGIO INTERMEDIO 175 L:

- Utile come sistema di caricamento di emergenza tramite lo sportello superiore;
- Regolazione automatica del livello di riempimento nel serbatoio grazie agli ultrasuoni;
- Prolunga la vita utile del dispositivo di estrazione minimizzando il consumo di corrente elettrica
  dal momento che il sistema di alimentazione si attiva più di rado;

ATTENZIONE: in questa versione non è possibile la variante con valvola stellare P16S/P31S";Dopla?ilo za vmesni zalogovnik (tip MF2 ZI)*;"z vmesnim zalogovnikom za gorivo prostornine 175 litrov za ogrevanje na sekance in pelete KWB Multifire tip MF2

VMESNI ZALOGOVNIK KWB 175 l:
- vše?na oblika in stabilna konstrukcija
- samodejna regulacija nivoja napolnjenosti v zalogovniku z uporabo ultrazvoka 
- podaljšanje življenjske dobe sistema odjema iz prostora in zmanjšanje stroškov elektrike, ker se transportni sistem redkeje vklaplja
";Sobreprecio para contenedor intermedio (modelo MF2 ZI);"Con contenedor intermedio de 175 l para la calefacción de pellets y astillas de madera KWB Multifire modelo MF2 

CONTENEDOR INTERMEDIO KWB DE 175 l:
- Estable y atractivo
- Regulación automática del nivel de llenado del contenedor por ultrasonidos 
- Aumento de la vida útil del sistema de alimentación y reducción de los costes de electricidad, gracias a que el sistema de alimentación funciona con menos frecuencia
";Meerprijs voor tussenreservoir (type MF2 ZI);"met 175 l brandstof-tussenreservoir voor snipper- en pelletverwarming KWB Multifire type MF2 

KWB-TUSSENRESERVOIR 175 l:
- Mooie vorm en stabiel
- Automatische regeling van vulstand in reservoir met behulp van ultrasoon geluid 
- Verlenging van de levensduur van het brandstofaanvoersysteem en minimalisatie van de stroomkosten, omdat het aanvoersysteem minder vaak opstart
";;;;;;;USV;272656;
04-2000079;1.039,00;Mehrwertposition Zellenradschleuse P31S (ab 60 kW);"- Einkammer-Zellenradschleuse mit großer Dichtfläche
- gehärtete und austauschbare Schneide und Gegenschneide für grobes Hackgut
- stromsparend, leise und nahezu verschleißfrei
";Extra charge for cellular wheel sluice P31S (from 60 kW);"- One-chamber cellular wheel sluice with deep filling chamber and large sealing surface
- Hardened and replaceable blade and counter-cutting blade for coarse wood chips
- Power-saving, quiet and nearly nonwearing
";Supplément de prix sas à roue à godets P31S (à partir de 60 kW);"- Sas à roue à godets mono-compartiment doté de compartiments de remplissage profonds
- Lame et contre-lame trempées et amovibles pour les plaquettes grossières
- Faible consommation et silencieux, pratiquement sans usure
";Maggiorazione per la valvola stellare P31S (a partire da 60 kW);"- Valvola stellare a una camera con camera di riempimento profonda e bordi di tenuta grandi
- Lama e controlama temprate e sostituibili per cippato grossolano
- Risparmio di corrente, funzionamento silenzioso e quasi privo di usura
";Dopla?ilo za zaporo s celi?nim kolesom P31S (nad 60 kW);"- zapora s celi?nim kolesom z eno globoko polnilno komoro in veliko tesnilno površino 
- oja?ano in zamenljivo rezilo ter protirezilo za velike sekance 
- var?na, tiha in skoraj brez vzdrževanja
";Sobrepr. para la esclusa de rueda celular P31S (a par. de 60kW);"- Esclusa de rueda celular de una cámara con cámara de llenado más honda y una mayor superficie de hermetizado
- Cuchilla y contracuchilla templadas y reemplazables, para astillas gruesas
- Bajo consumo, silenciosa y prácticamente exenta de desgaste";Meerprijs draaisluis P31S (vanaf 60 kW);"- Draaisluis met enkele kamer en diepe vulkamer en groot afdichtvlak
- Gehard en verwisselbaar mes en tegenmes voor grove snippers
- Stroombesparend, stil en vrijwel slijtvast";;;;;;;USV;272657;
