Artikel;Netto;id;Name ES
01-1000049;194,20;266103;Tubo hervidor soldado 159/4,5 para tubo de inyección HG
01-1000058;143,00;266104;Arco de acero tubular AD159mm
01-1000161;2,00;271023;
01-1000162;405,30;266105;Tapa contenedor de basura móvil 240 litros galv.
01-2000004;346,50;266106;Bote NIRO con llave de 1/2", 100 litros
02-1000001;3,40;266107;Manguera de silicona Ø4x1,5
02-1000009;1,50;266108;Manguera PVC Ø19xØ26mm contenedor de agua de emergencia l=380mm
02-1000010;4,00;266109;Manguera de PVC Ø19xØ26mm recipiente de agua l=1000mm
02-1000011;32,20;266110;Manguera de aire MFA Ø55mm O.E. conexión ciclón-Manguera
02-1000012;37,60;266111;Manguera PU/R Ø60x7mm 
02-1000014;4,70;266112;Manguera PU/R Ø40mm Ventilador de encendido Leister l=510mm
02-1000015;6,00;266113;Manguera PU/R Ø40mm Ventilador de encendido TDS150 l=700mm
02-1000016;14,10;266114;Manguera PU/R Ø50mm
02-1000017;21,10;266115;Manguera PU/R Ø60mm
02-1000018;18,50;266116;Manguera PU/L Ø75mm
02-1000019;18,90;266117;Manguera PU/L Ø80mm difícilmente inflamable
02-1000021;16,40;266118;Manguera de aspiración espiral Ø40mm pellets
02-1000024;299,80;266119;Manguera de aspiración espiral Ø40mm L=25m pellets
02-1000030;5,30;266120;Manguera de aire PENTAFLEX gris aspirador-ciclón Ø38mm
02-1000031;57,00;266121;Manguera para alta temperatura ø83mm
02-1000032;69,10;266122;Manguera de alta temperatura ø83mm / L=1.100mm
02-1000033;265,70;266123;Manguera ondulada de acero fino DN40 L=2.500mm
02-1000035;0,60;266124;PE-cinta de espuma 3x9mm
02-1000036;1,20;266125;PE-cinta de espuma 3x20mm
02-1000037;0,80;266126;PE-Cinta de espuma 5x9mm 1-cara autoadhesiva, gris
02-1000038;1,90;266127;PE-Cinta de espuma 5x20mm 1-cara autoadhesiva, gris
02-1000039;2,40;266128;PE-Cinta de espuma 6x30mm 1-cara autoadhesiva, gris
02-1000041;1,90;266129;PE-Cinta de espuma 6x25mm x 5m para RA USV 2005
02-1000042;5,50;266130;Cinta de caucho celular 15x8mm 5m para RA USV 2005
02-1000044;4,50;266131;Cinta cerámica blanca 2x9mm alta temperatura
02-1000045;4,70;266132;Cinta cerámica blanca 6x15mm
02-1000047;4,00;266133;Empaquetadura de fibra cerámica ø4mm
02-1000048;4,70;266134;Empaquetadura de fibra cerámica ø6mm
02-1000049;3,80;266135;Embalaje 10x10mm trenzadas de fibra de vidrio 
02-1000051;9,50;266136;Junta cerámica 12x12mm cruzado con hilo trenzado
02-1000053;6,70;266137;Junta de fibra de vidrio 12x12mm quemador USP   l = 915mm
02-1000054;1,70;266138;Junta cerámica 12x12mm l=140 mm encendido HG
02-1000055;4,00;266139;Junta cerámica 12x12mm l=360 mm Sinfín de ceniza  HG
02-1000056;4,30;266140;Junta cerámica 12x12mm l=450 mm Sinfín de ceniza  HG
