Artikel;Netto;Name DE;Text DE;Name EN;Text EN;Name FR;Text FR;Name IT;Text IT;Name SL;Text SL;Name ES;Text ES;Name NL;Text NL;Name DA;Text DA;Name FI;Text FI;Name SV;Text SV;Bild;Rabattgruppe;Gewicht;id;
01-1000049;228,40;Siederohr geschweißt 159/4,5 für Einblasrohr HG;;Smoke tube welded 159/4.5 for jet pipe HG ;;Tube bouilleur soudé 159/4,5 pour tube de soufflage Plaquettes ;;Tubo bollitore saldato 159/4,5 per tubo di insufflamento HG ;;Cev, varjena 159/4,5 za vpihovalno cev HG ;;Tubo hervidor soldado 159/4,5 para tubo de inyección HG;;;;;;;;;;;Ersatzt;7,84;434746;
01-1000058;168,20;Stahlrohrbogen AD159mm;;Steel pipe bend AD159mm;;Coude acier AD159mm;;Curva in acciaio AD159mm;;Jekleno cevno koleno ZP 159 mm;;Arco de acero tubular AD159mm;;;;;;;;;;;Ersatzt;5,99;434747;
01-1000161;2,40;Schraubdeckel;;Screw cover;;Couvercle à visser;;Coperchio a vite;;;;;;;;;;;;;;;Ersatzt;0,10;438586;
01-1000162;476,70;Deckel für Mülltonne 240Liter fahrbar verz.;;Cover for mobile ash barrel 240 litres, galvanised;;Couvercle de benne à ordures 240 litres mobile galv.;;Coperchio per bidone dell'immondizia 240litri mobile zinc.;;Pokrov premi?ne posode za pepel, 240 litrov, pocinkan;;Tapa contenedor de basura móvil 240 litros galv.;;;;;;;;;;;Ersatzt;5,54;434748;
02-1000001;4,10;Silikonschlauch Ø4x1,5;;Silicone hose Ø4x1.5;;Tuyau de silicone Ø4x1,5;;Flessibile al silicone Ø4x1,5;;Silikonska cev Ø4 x 1,5;;Manguera de silicona Ø4x1,5;;;;;;;;;;;Ersatzt;0,01;434749;
02-1000009;1,70;Schlauch PVC Wasserkanister USV;;Hose PVC water canister USV;;Flexible PVC réservoir d’eau USV;;Tubo flessibile PVC tanica dell'acqua USV;;PVC-cev, posoda za vodo USV;;Manguera PVC Ø19xØ26mm contenedor de agua de emergencia l=380mm;;;;;;;;;;;Ersatzt;0,09;434750;
02-1000010;4,70;Schlauch PVC Ø19xØ26mm Wasserkanister l=1000mm;;Hose PVC Ø19xØ26mm water canister l=1000mm;;Flexible PVC Ø19xØ26 mm réservoir d’eau l=1000mm               ;;Tubo flessibile PVC Ø19xØ26mm tanica dell'acqua l=1000mm;;PVC-cev Ø19 x Ø26 mm, posoda za vodo l=1000 mm;;Manguera de PVC Ø19xØ26mm recipiente de agua l=1000mm;;;;;;;;;;;Ersatzt;0,30;434751;
02-1000011;37,80;Luftschlauch MFA Ø55mm O.E. Verbindung Z;;suction hose  MFA Ø 55mm O.E. connecting cyclone hose          ;;Flexible d'air MFA Ø55mm O.E. Raccord flexible cyclone;;Condotta dell'aria MFA Ø55mm O.E. collegam. flessibile ciclone;;Sesalna cev MFA Ø55 mm O.E., povezava ciklonske cevi;;Manguera de aire MFA Ø55mm O.E. conexión ciclón-Manguera;;;;;;;;;;;Ersatzt;0,35;434752;
02-1000012;44,20;Schlauch Ø60x7mm schwarz;;Hose Ø60x7mm black;;Flexible Ø60x7mm noir                                          ;;Tubo flessibile Ø60x7mm nero;;Cev Ø60 x 7 mm, ?rna;;Manguera PU/R Ø60x7mm ;;;;;;;;;;;Ersatzt;0,20;434753;
02-1000014;5,50;Schlauch PU/R Ø40mm Zündgebläse Leister l=510mm;;Hose PU/R Ø40mm ignition fan Leister l=510mm;;Flexible PU/R Ø40mm ventilateur d’allumage Leister l=510mm     ;;Tubo flessibile PU/R Ø40mm soffiante di accens. Leister l=510mm;;Cev PU/R Ø40 mm, vžigalnik Leister l=510mm;;Manguera PU/R Ø40mm Ventilador de encendido Leister l=510mm;;;;;;;;;;;Ersatzt;0,10;434754;
02-1000015;7,20;Schlauch PU/R Ø40mm Zündgebläse TDS150;;Hose PU/R Ø40mm ignition fan TDS150;;Flexible PU/R Ø40mm ventilateur d’allumage TDS150;;Tubo flessibile PU/R Ø40mm soffiante di accensione TDS150;;Cev PU/R Ø40 mm, vžigalnik TDS150;;Manguera PU/R Ø40mm Ventilador de encendido TDS150 l=700mm;;;;;;;;;;;Ersatzt;0,05;434755;
02-1000017;24,90;Schlauch PU/R Ø60mm;;Hose PU/R Ø60mm;;Flexible PU/R Ø60 mm;;Tubo flessibile PU/R Ø60mm;;Cev PU/R Ø60 mm;;Manguera PU/R Ø60mm;;;;;;;;;;;Ersatzt;0,43;434756;
02-1000021;27,10;Spiralsaugschlauch Ø40mm Saugleitung Pel;;Spiral suction hose Ø40mm suction pipe pellets;;Flexible d'aspir. à spirale Ø40 mm conduite d'aspir. granulés;;Tubo d'aspirazione a spirale Ø40mm condotta di aspiraz. pellet;;Spiralna sesalna cev Ø40 mm, sesalni vod za pelete;;Manguera de aspiración espiral Ø40mm pellets;;;;;;;;;;;Ersatzt;1,05;434757;
02-1000024;352,50;Spiralsaugschlauch Ø40mm L=25m Saugleitu;;Spiral suction hose Ø40mm l=25m suction pipe pellets;;Flexible d'aspir. spirale Ø40 mm L=25m conduite d'asp. granulés;;Tubo d'aspirazione a spirale Ø40mm L=25m cond. di asp. pellet;;Spiralna sesalna cev Ø40 mm, L=25 m, sesalni vod za pelete;;Manguera de aspiración espiral Ø40mm L=25m pellets;;;;;;;;;;;Ersatzt;23,80;434758;
02-1000030;11,60;Luftschlauch PENTAFLEX grau Staubsauger-;;Air hose PENTAFLEX grey vacuum cleaner cyclone Ø38mm;;Flexible d'air PENTAFLEX gris aspirateur cyclone Ø38mm;;Condotta dell'aria PENTAFLEX grigia ciclone aspirapolvere Ø38mm;;Sesalna cev PENTAFLEX, siva, ciklon sesalnika prahu Ø38 mm;;Manguera de aire PENTAFLEX gris aspirador-ciclón Ø38mm;;;;;;;;;;;Ersatzt;0,70;434759;
02-1000031;67,00;Hochtemperaturschlauch ø83mm;;High temperature hose Ø83mm;;Flexible haute température ø83mm;;Tubo per alta temperatura ø83mm;;Visokotemperaturna cev ø83 mm;;Manguera para alta temperatura ø83mm;;;;;;;;;;;Ersatzt;1,00;434760;
02-1000032;81,30;Hochtemperaturschlauch ø83mm / L=1.100m;;High temperature hose Ø83mm / l=1.1m;;Flexible haute température ø83mm / L=1.100m;;Tubo per alta temperatura ø83mm / L=1.100m;;Visokotemperaturna cev ø83 mm / L=1.100 m;;Manguera de alta temperatura ø83mm / L=1.100mm;;;;;;;;;;;Ersatzt;0,55;434761;
02-1000033;312,40;Edelstahl-Wellschlauch DN40 L=2.500mm;;Stainless steel corrugated hose DN40, l=2,500mm;;Flexible annelé acier DN40, L=2.500mm;;Tubo ondulato in acciaio inox DN40, L=2.500mm;;Valovita cev iz nerjavnega jekla DN40, L=2.500 mm;;Manguera ondulada de acero fino DN40 L=2.500mm;;;;;;;;;;;Ersatzt;6,00;434762;
02-1000035;3,50;PE-Schaumband 3x9mm;VPE 20m;PE foam band 3x9mm;VPE 20m;Bande de mousse PE 3x9mm;UE 20 m;Nastro di schiuma PE 3x9mm;;Trak iz PE-pene 3x9mm;;PE-cinta de espuma 3x9mm;;;;;;;;;;;Ersatzt;0,00;434763;
02-1000036;3,80;PE-Schaumband 3x20mm;VPE Rolle = 20m;PE foam band 3x20mm;VPE role = 20 m;Bande de mousse PE 3x20mm;UE rouleau = 20m;Nastro di schiuma PE 3x20mm;;Trak iz PE-pene 3x20mm;;PE-cinta de espuma 3x20mm;;;;;;;;;;;Ersatzt;0,10;434764;
02-1000037;3,80;PE-Schaumband 5x9mm 1-seitig selbstkleb;;PE foam band 5x9mm one-side self-adhesive;;Bande en mousse 5x9mm 1 face autocollante;;Nastro di schiuma PE 5x9mm 1 lato autoadesivo;;Trak iz PE-pene 5x9mm, 1-stransko samolepilni;;PE-Cinta de espuma 5x9mm 1-cara autoadhesiva, gris;;;;;;;;;;;Ersatzt;0,02;434765;
02-1000038;5,30;PE-Schaumband 5x20mm 1-seitig selbstkleb;VPE 10m;PE foam band 5x20mm one-side self-adhesive;VPE 10m;Bande de mousse PE 5x20mm autocollant d'un côté;UE 10 m;Nastro di schiuma PE 5x20mm 1 lato autoadesivo;;Trak iz PE-pene 5x20mm, 1-stransko samolepilni;;PE-Cinta de espuma 5x20mm 1-cara autoadhesiva, gris;;;;;;;;;;;Ersatzt;0,06;434766;
02-1000041;5,30;PE-Schaumband 6x25mm x 5m für RA USV 200;VPE 10m;PE foam band 6x25mm x 5m for FE USV 2005;VPE 10m;Bande de mousse PR 6x25mm x 5 m pour RA USV 2005;UE 10 m;Nastro di schiuma PE 6x25mm x 5m per RA USV 2005;;Trak iz PE-pene 6x25mm x 5m za DN USV 2005;;PE-Cinta de espuma 6x25mm x 5m para RA USV 2005;;;;;;;;;;;Ersatzt;0,05;434767;
